X,Y,objectid,wri_id,mill_name_,latitude,longitude,iso,certificat,group_name
99.406200000051086,9.10669999996921,56,WRI_177,Saengsiri Agro-Industries Co. Ltd,9.1067,99.4062,THA,None,Unknown
99.857100000062871,9.012800000004582,57,WRI_178,S.P.O Agro-Industries Co. Ltd,9.0128,99.8571,THA,None,Unknown
102.986700000183021,2.455100000550784,58,WRI_18,Stable Win,2.4551,102.9867,MYS,None,Unknown
103.217299999491942,1.98080000039921,59,WRI_180,Genting Oil Mill,1.9808,103.2173,MYS,None,Unknown
102.399999999719611,2.733299999358282,60,WRI_181,Jeram Padang Mill,2.7333,102.4,MYS,None,Unknown
101.203099999993299,0.757199999538871,61,WRI_182,Sekarbumi Alamlestari Mill,0.7572,101.2031,IDN,None,Unknown
111.463699999692707,1.233600000519344,62,WRI_186,Sarawak  Land Consolidation & Rehabilitation Authorithy (Lubok Antu Mill),1.2336,111.4637,MYS,None,Unknown
101.44760000000268,1.66569999958432,63,WRI_187,Sei Lilin,1.6657,101.4476,IDN,None,Unknown
103.385399999470835,4.299299999542311,65,WRI_191,Kilang Kelapa Sawit Kemaman,4.2993,103.3854,MYS,None,Unknown
103.75469999992039,1.463400000333686,66,WRI_193,Kilang Kelapa Sawit Sedenak,1.4634,103.7547,MYS,None,Unknown
103.324799999848778,3.802200000721148,67,WRI_194,Sri Jelutung Palm Oil Mill,3.8022,103.3248,MYS,None,Unknown
100.94689999946543,4.173300000004621,68,WRI_195,Kilang Kelapa Sawit Felcra Seberang Perak,4.1733,100.9469,MYS,None,Unknown
101.787299999800808,2.996199999541215,69,WRI_196,Kilang Kelapa Sawit Lima Blas,2.9962,101.7873,MYS,None,Unknown
101.255799999411167,3.724400000364495,70,WRI_197,Kilang Kelapa Sawit Ulu Basir,3.7244,101.2558,MYS,None,Unknown
100.629399999706749,5.504399999756288,72,WRI_199,Kilang Kelapa Sawit Sungai Dingin,5.5044,100.6294,MYS,None,Unknown
103.623900000780623,1.802400000066119,73,WRI_20,Revenue Direction Palm Oil Mill,1.8024,103.6239,MYS,None,Unknown
112.000000000479332,1.999999999950246,74,WRI_201,Boustead Pelita Kanowit Oil Mill,2,112,MYS,None,Unknown
101.674100000319996,3.192300000398132,75,WRI_204,K.K.S Ulu Sembol,3.1923,101.6741,MYS,None,Unknown
103.858599999979489,1.693899999535802,76,WRI_206,K.K.S Tai Tak,1.6939,103.8586,MYS,None,Unknown
101.975799999670258,4.079299999672485,77,WRI_207,KKS Adela,4.0793,101.9758,MYS,None,Unknown
103.644499999789417,1.730999999695295,78,WRI_209,KKS Kulai,1.731,103.6445,MYS,None,Unknown
102.730299999638575,2.488600000264618,79,WRI_21,Chin Teck Plantations,2.4886,102.7303,MYS,None,Unknown
103.782199999949015,1.718900000589417,80,WRI_212,Kilang Kelapa Sawit Alaf,1.7189,103.7822,MYS,None,Unknown
