"Hotel accommodation: arrivals and overnight stays of open establishments by year, month, canton and visitors' country of residence"

"Year";"Month";"Canton";"Visitors' country of residence - total Arrivals";"Switzerland Arrivals";"Baltic States Arrivals";"Germany Arrivals";"France Arrivals";"Italy Arrivals";"Austria Arrivals";"United Kingdom Arrivals";"Irland Arrivals";"Netherlands Arrivals";"Belgium Arrivals";"Luxembourg Arrivals";"Denmark Arrivals";"Sweden Arrivals";"Norway Arrivals";"Finland Arrivals";"Spain Arrivals";"Portugal Arrivals";"Greece Arrivals";"Turkey Arrivals";"Other European countries Arrivals";"Liechtenstein Arrivals";"Iceland Arrivals";"Poland Arrivals";"Hungary Arrivals";"Belarus Arrivals";"Bulgaria Arrivals";"Malta Arrivals";"Cyprus Arrivals";"Chile Arrivals";"United States Arrivals";"Canada Arrivals";"Mexico Arrivals";"Brazil Arrivals";"Argentina Arrivals";"Central America, Caribbean Arrivals";"Other South American countries Arrivals";"Other Central American countries Arrivals";"Egypt Arrivals";"Other North African countries Arrivals";"South Africa Arrivals";"Other African countries Arrivals";"Bahrain Arrivals";"Israel Arrivals";"India Arrivals";"Japan Arrivals";"Other South-East Asian countries Arrivals";"Qatar Arrivals";"Kuwait Arrivals";"Australia Arrivals";"Australia, New Zealand, Oceania Arrivals";"China Arrivals";"Gulf States Arrivals";"Hong Kong Arrivals";"Indonesia Arrivals";"South Korea Arrivals";"Malaysia Arrivals";"Philippines Arrivals";"New Zealand, Oceania Arrivals";"Singapore Arrivals";"Oman Arrivals";"Taiwan (Chinese Taipei) Arrivals";"Thailand Arrivals";"Other West Asian countries Arrivals";"Estonia Arrivals";"Latvia Arrivals";"Lithuania Arrivals";"Saudi Arabia Arrivals";"United Arab Emirates Arrivals";"Serbia and Montenegro Arrivals";"Croatia Arrivals";"Romania Arrivals";"Russia Arrivals";"Slovakia Arrivals";"Slovenia Arrivals";"Czechia Arrivals";"Ukraine Arrivals";"Serbia Arrivals"
"2010";"April";"Switzerland";1074035;508260;...;152033;51529;38758;13043;48813;1835;20070;21251;2717;3331;5944;2470;2857;13636;3118;3368;2915;5204;822;306;3969;2219;268;1088;167;184;256;35672;6378;...;5277;823;2240;1327;...;719;1116;1349;2529;...;3529;11207;9358;2674;...;...;5635;...;17396;5370;2440;1149;6492;1440;1023;857;2179;...;2895;10332;1627;388;319;272;...;...;...;862;1852;9549;823;1152;3104;1374;876
"2010";"May";"Switzerland";1287452;570264;...;186439;53900;36733;17076;54720;2282;28510;13131;3291;4306;6288;2958;3218;16701;3430;2800;2844;6211;1120;402;4144;3029;564;1432;488;188;540;63886;9591;...;6642;1349;2773;1747;...;798;1679;2076;3890;...;3904;35027;20373;5275;...;...;10060;...;24196;5971;3956;1289;9978;2299;800;1557;4442;...;3785;6288;1657;392;306;477;...;...;...;922;2339;12133;945;1131;3437;2018;1055
"2010";"June";"Switzerland";1556381;671017;...;215766;59687;42064;20239;74863;2728;33874;22453;3064;5883;6675;4000;4163;19744;4149;3433;3107;6787;1179;630;4587;4258;538;1402;178;219;587;95781;11501;...;6089;1421;3959;2534;...;1065;1376;2502;5032;...;5359;31041;51157;4511;...;...;11981;...;28516;10431;4373;3024;9360;2353;540;2562;6373;...;4606;3569;1979;331;441;530;...;...;...;1033;2796;11855;1015;1484;3867;1953;807
"2010";"July";"Switzerland";1955557;851137;...;245103;75453;51225;22216;82055;3135;76529;40669;4115;9871;9077;8286;5066;28297;4939;4112;2657;7811;1558;369;5415;5273;584;1493;343;565;457;98577;12112;...;6937;1333;4593;2134;...;1647;1524;2119;3838;...;7751;21523;74185;6378;...;...;13285;...;34174;43476;5615;1921;13775;1474;352;2055;3643;...;4385;3808;2948;1232;500;832;...;...;...;770;3636;14274;1172;1162;5645;2184;778
"2010";"August";"Switzerland";1887475;827134;...;277384;84852;71231;25241;77856;2957;62154;33919;5802;5752;6980;3390;2966;40991;5298;5477;2174;6869;1489;605;4856;4950;631;1709;547;546;406;75942;10164;...;4995;1319;2858;1946;...;858;1137;1790;3022;...;10392;18372;53184;4551;...;...;10246;...;39795;13943;6139;986;12758;1020;323;2004;2350;...;4384;2525;2198;1061;357;659;...;...;...;776;4390;15456;1677;1368;5577;2099;688
"2010";"September";"Switzerland";1677924;803808;...;233579;58862;40927;22063;75843;2846;28940;18135;3571;5254;8231;4268;3602;21012;3969;3115;3333;6698;1323;518;4909;3575;630;1501;244;226;566;92223;13539;...;7954;1955;3307;2177;...;1202;1415;2691;3050;...;7097;14493;33026;4812;...;...;14463;...;33938;12073;4513;4615;9566;2417;697;2210;4069;...;4858;3704;2621;722;410;568;...;...;...;934;2655;12847;1135;1130;4433;1944;913
"2010";"October";"Switzerland";1317370;686656;...;161235;53233;39089;14483;47113;2337;17279;10442;2394;4226;6231;3307;3086;16099;3589;2962;2473;4389;1155;334;3230;2693;395;989;265;173;493;51564;8827;...;7382;1500;2802;2073;...;944;1289;1576;3920;...;4300;12966;16020;4538;...;...;8523;...;33832;6567;4710;1272;8639;2273;693;1298;4442;...;3843;7523;1724;597;307;305;...;...;...;1011;2222;10475;778;1071;2741;1502;971
"2010";"November";"Switzerland";927559;457124;...;113921;47258;33360;12367;38290;2196;12870;9684;1849;3237;5129;2320;2227;12178;2967;2753;4384;3696;894;291;3167;1867;291;1203;146;286;280;33614;5133;...;4219;720;2021;1370;...;931;1355;1301;2922;...;3390;5832;8990;2905;...;...;4053;...;20225;6365;2871;840;5285;2448;436;639;4733;...;2108;2936;1722;724;279;345;...;...;...;708;2166;10663;852;687;2575;2034;927
"2010";"December";"Switzerland";1054278;522473;...;134938;51386;47599;9816;48795;1913;21019;12775;3820;2916;4442;1803;2007;13052;3147;5357;2325;4094;823;306;3330;1486;735;1052;292;283;227;32630;4462;...;4150;456;1986;1606;...;914;1211;2341;2628;...;3576;4601;7447;2565;...;...;6725;...;15360;4897;2946;2509;4223;2773;313;697;10428;...;1731;4131;1619;296;233;374;...;...;...;697;2016;13196;636;585;2259;2035;815
"2011";"January";"Switzerland";1131932;576182;...;154899;48596;40215;11180;52708;2629;19741;18445;3479;3626;6798;3159;2577;12445;2954;4190;3351;4033;853;420;3738;1714;560;970;241;303;340;33815;5526;942;7005;976;...;1361;1059;824;1154;2192;2029;314;3759;3275;6370;3147;741;208;7609;...;10507;...;2045;1029;6462;754;262;964;2381;152;1415;2264;1710;409;337;334;1692;1791;...;913;2176;23804;784;748;2444;3042;861
